step,task,chosen,correct,regret
103,B_goal_transfer,protomem,1.0,0.0
104,B_goal_transfer,protomem,1.0,0.0
105,B_goal_transfer,protomem,1.0,0.0
106,B_goal_transfer,protomem,1.0,0.0
107,B_goal_transfer,protomem,1.0,0.0
108,B_goal_transfer,protomem,1.0,0.0
109,B_goal_transfer,protomem,1.0,0.0
110,B_goal_transfer,protomem,1.0,0.0
111,B_goal_transfer,policy,1.0,0.0
112,B_goal_transfer,policy,1.0,0.0
113,B_goal_transfer,protomem,1.0,0.0
114,B_goal_transfer,protomem,1.0,0.0
115,B_goal_transfer,policy,1.0,0.0
116,B_goal_transfer,protomem,1.0,0.0
117,B_goal_transfer,goalinfer,1.0,0.0
118,B_goal_transfer,policy,1.0,0.0
119,B_goal_transfer,protomem,1.0,0.0
120,C_dense_support,goalinfer,1.0,0.0
121,C_dense_support,goalinfer,1.0,0.0
122,C_dense_support,policy,1.0,0.0
123,C_dense_support,policy,1.0,0.0
124,C_dense_support,protomem,1.0,0.0
125,C_dense_support,policy,1.0,0.0
126,C_dense_support,protomem,1.0,0.0
127,C_dense_support,policy,1.0,0.0
128,C_dense_support,policy,1.0,0.0
129,C_dense_support,goalinfer,1.0,0.0
130,C_dense_support,goalinfer,1.0,0.0
131,C_dense_support,policy,1.0,0.0
132,C_dense_support,protomem,1.0,0.0
133,C_dense_support,protomem,1.0,0.0
134,C_dense_support,protomem,1.0,0.0
135,C_dense_support,policy,1.0,0.0
136,C_dense_support,policy,1.0,0.0
137,C_dense_support,policy,1.0,0.0
138,C_dense_support,protomem,1.0,0.0
139,C_dense_support,goalinfer,1.0,0.0
140,B_goal_transfer,policy,1.0,0.0
141,B_goal_transfer,protomem,1.0,0.0
142,B_goal_transfer,protomem,1.0,0.0
143,B_goal_transfer,protomem,1.0,0.0
144,B_goal_transfer,policy,1.0,0.0
145,B_goal_transfer,protomem,1.0,0.0
146,B_goal_transfer,protomem,1.0,0.0
147,B_goal_transfer,protomem,1.0,0.0
148,B_goal_transfer,policy,1.0,0.0
149,B_goal_transfer,policy,1.0,0.0
150,B_goal_transfer,protomem,1.0,0.0
151,B_goal_transfer,protomem,1.0,0.0
152,B_goal_transfer,policy,1.0,0.0
153,B_goal_transfer,protomem,1.0,0.0
154,B_goal_transfer,protomem,1.0,0.0
155,B_goal_transfer,policy,1.0,0.0
156,B_goal_transfer,policy,1.0,0.0
157,B_goal_transfer,protomem,1.0,0.0
158,B_goal_transfer,policy,1.0,0.0
159,B_goal_transfer,protomem,1.0,0.0
160,D_hidden_goal,policy,0.0,1.0
161,D_hidden_goal,policy,0.0,1.0
162,D_hidden_goal,policy,0.0,1.0
163,D_hidden_goal,policy,0.0,1.0
164,D_hidden_goal,policy,0.0,1.0
165,D_hidden_goal,policy,0.0,1.0
166,D_hidden_goal,policy,0.0,1.0
167,D_hidden_goal,policy,0.0,1.0
168,D_hidden_goal,policy,0.0,1.0
169,D_hidden_goal,policy,0.0,1.0
170,D_hidden_goal,policy,0.0,1.0
171,D_hidden_goal,policy,0.0,1.0
172,D_hidden_goal,policy,0.0,1.0
173,D_hidden_goal,policy,1.0,0.0
174,D_hidden_goal,policy,0.0,1.0
175,D_hidden_goal,policy,0.0,1.0
176,D_hidden_goal,policy,0.0,1.0
177,D_hidden_goal,policy,0.0,1.0
178,D_hidden_goal,policy,0.0,1.0
179,D_hidden_goal,policy,0.0,1.0
180,C_dense_support,policy,1.0,0.0
181,C_dense_support,policy,1.0,0.0
182,C_dense_support,protomem,1.0,0.0
183,C_dense_support,protomem,1.0,0.0
184,C_dense_support,policy,1.0,0.0
185,C_dense_support,protomem,1.0,0.0
186,C_dense_support,goalinfer,1.0,0.0
187,C_dense_support,protomem,1.0,0.0
188,C_dense_support,policy,1.0,0.0
189,C_dense_support,policy,1.0,0.0
190,C_dense_support,protomem,1.0,0.0
191,C_dense_support,policy,1.0,0.0
192,C_dense_support,protomem,1.0,0.0
193,C_dense_support,policy,1.0,0.0
194,C_dense_support,protomem,1.0,0.0
195,C_dense_support,policy,1.0,0.0
196,C_dense_support,protomem,1.0,0.0
197,C_dense_support,protomem,1.0,0.0
198,C_dense_support,policy,1.0,0.0
199,C_dense_support,policy,1.0,0.0
200,A_fixed_goal,protomem,1.0,0.0
201,A_fixed_goal,policy,1.0,0.0
202,A_fixed_goal,protomem,1.0,0.0
203,A_fixed_goal,policy,1.0,0.0
204,A_fixed_goal,policy,1.0,0.0
205,A_fixed_goal,protomem,1.0,0.0
206,A_fixed_goal,protomem,1.0,0.0
207,A_fixed_goal,goalinfer,1.0,0.0
208,A_fixed_goal,policy,1.0,0.0
209,A_fixed_goal,protomem,1.0,0.0
210,A_fixed_goal,policy,1.0,0.0
211,A_fixed_goal,protomem,1.0,0.0
212,A_fixed_goal,protomem,1.0,0.0
213,A_fixed_goal,protomem,1.0,0.0
214,A_fixed_goal,protomem,1.0,0.0
215,A_fixed_goal,goalinfer,1.0,0.0
216,A_fixed_goal,policy,1.0,0.0
217,A_fixed_goal,protomem,1.0,0.0
218,A_fixed_goal,goalinfer,1.0,0.0
219,A_fixed_goal,protomem,1.0,0.0
220,B_goal_transfer,goalinfer,1.0,0.0
221,B_goal_transfer,policy,1.0,0.0
222,B_goal_transfer,policy,1.0,0.0
223,B_goal_transfer,policy,1.0,0.0
224,B_goal_transfer,policy,1.0,0.0
225,B_goal_transfer,protomem,1.0,0.0
226,B_goal_transfer,protomem,1.0,0.0
227,B_goal_transfer,protomem,1.0,0.0
228,B_goal_transfer,protomem,1.0,0.0
229,B_goal_transfer,protomem,1.0,0.0
230,B_goal_transfer,policy,1.0,0.0
231,B_goal_transfer,policy,1.0,0.0
232,B_goal_transfer,protomem,1.0,0.0
233,B_goal_transfer,policy,1.0,0.0
234,B_goal_transfer,protomem,1.0,0.0
235,B_goal_transfer,policy,1.0,0.0
236,B_goal_transfer,protomem,1.0,0.0
237,B_goal_transfer,protomem,1.0,0.0
238,B_goal_transfer,protomem,1.0,0.0
239,B_goal_transfer,policy,1.0,0.0
240,A_fixed_goal,protomem,1.0,0.0
241,A_fixed_goal,policy,1.0,0.0
242,A_fixed_goal,policy,1.0,0.0
243,A_fixed_goal,protomem,1.0,0.0
244,A_fixed_goal,protomem,1.0,0.0
245,A_fixed_goal,policy,1.0,0.0
246,A_fixed_goal,protomem,1.0,0.0
247,A_fixed_goal,protomem,1.0,0.0
248,A_fixed_goal,protomem,1.0,0.0
249,A_fixed_goal,protomem,1.0,0.0
250,A_fixed_goal,policy,1.0,0.0
251,A_fixed_goal,policy,1.0,0.0
252,A_fixed_goal,policy,1.0,0.0
253,A_fixed_goal,paramcomp,1.0,0.0
254,A_fixed_goal,paramcomp,1.0,0.0
255,A_fixed_goal,protomem,1.0,0.0
256,A_fixed_goal,goalinfer,1.0,0.0
257,A_fixed_goal,protomem,1.0,0.0
258,A_fixed_goal,protomem,1.0,0.0
259,A_fixed_goal,protomem,1.0,0.0
260,C_dense_support,protomem,1.0,0.0
261,C_dense_support,policy,1.0,0.0
262,C_dense_support,protomem,1.0,0.0
263,C_dense_support,policy,1.0,0.0
264,C_dense_support,policy,1.0,0.0
265,C_dense_support,protomem,1.0,0.0
266,C_dense_support,protomem,1.0,0.0
267,C_dense_support,goalinfer,1.0,0.0
268,C_dense_support,policy,1.0,0.0
269,C_dense_support,protomem,1.0,0.0
270,C_dense_support,policy,1.0,0.0
271,C_dense_support,protomem,1.0,0.0
272,C_dense_support,protomem,1.0,0.0
273,C_dense_support,protomem,1.0,0.0
274,C_dense_support,protomem,1.0,0.0
275,C_dense_support,goalinfer,1.0,0.0
276,C_dense_support,policy,1.0,0.0
277,C_dense_support,protomem,1.0,0.0
278,C_dense_support,goalinfer,1.0,0.0
279,C_dense_support,protomem,1.0,0.0
280,D_hidden_goal,policy,0.0,1.0
281,D_hidden_goal,policy,0.0,1.0
282,D_hidden_goal,policy,0.0,1.0
283,D_hidden_goal,policy,0.0,1.0
284,D_hidden_goal,policy,0.0,1.0
285,D_hidden_goal,policy,0.0,1.0
286,D_hidden_goal,policy,0.0,1.0
287,D_hidden_goal,policy,0.0,1.0
288,D_hidden_goal,policy,1.0,0.0
289,D_hidden_goal,policy,0.0,1.0
290,D_hidden_goal,policy,0.0,1.0
291,D_hidden_goal,policy,0.0,1.0
292,D_hidden_goal,policy,0.0,1.0
293,D_hidden_goal,policy,0.0,1.0
294,D_hidden_goal,policy,0.0,1.0
295,D_hidden_goal,policy,0.0,1.0
296,D_hidden_goal,protomem,1.0,0.0
297,D_hidden_goal,policy,0.0,1.0
298,D_hidden_goal,policy,0.0,1.0
299,D_hidden_goal,policy,0.0,1.0
300,D_hidden_goal,policy,0.0,1.0
301,D_hidden_goal,policy,0.0,1.0
302,D_hidden_goal,policy,0.0,1.0
303,D_hidden_goal,policy,0.0,1.0
304,D_hidden_goal,policy,0.0,1.0
305,D_hidden_goal,policy,0.0,1.0
306,D_hidden_goal,policy,0.0,1.0
307,D_hidden_goal,policy,0.0,1.0
308,D_hidden_goal,policy,0.0,1.0
309,D_hidden_goal,policy,0.0,1.0
310,D_hidden_goal,policy,0.0,1.0
311,D_hidden_goal,policy,0.0,1.0
312,D_hidden_goal,policy,0.0,1.0
313,D_hidden_goal,policy,0.0,1.0
314,D_hidden_goal,policy,0.0,1.0
315,D_hidden_goal,policy,0.0,1.0
316,D_hidden_goal,policy,0.0,1.0
317,D_hidden_goal,policy,0.0,1.0
318,D_hidden_goal,policy,0.0,1.0
319,D_hidden_goal,policy,0.0,1.0
320,C_dense_support,policy,1.0,0.0
321,C_dense_support,policy,1.0,0.0
322,C_dense_support,protomem,1.0,0.0
323,C_dense_support,protomem,1.0,0.0
324,C_dense_support,policy,1.0,0.0
325,C_dense_support,protomem,1.0,0.0
326,C_dense_support,goalinfer,1.0,0.0
327,C_dense_support,protomem,1.0,0.0
328,C_dense_support,policy,1.0,0.0
329,C_dense_support,policy,1.0,0.0
330,C_dense_support,protomem,1.0,0.0
331,C_dense_support,policy,1.0,0.0
332,C_dense_support,protomem,1.0,0.0
333,C_dense_support,policy,1.0,0.0
334,C_dense_support,protomem,1.0,0.0
335,C_dense_support,policy,1.0,0.0
336,C_dense_support,protomem,1.0,0.0
337,C_dense_support,paramcomp,1.0,0.0
338,C_dense_support,policy,1.0,0.0
339,C_dense_support,policy,1.0,0.0
340,C_dense_support,policy,1.0,0.0
341,C_dense_support,policy,1.0,0.0
342,C_dense_support,protomem,1.0,0.0
343,C_dense_support,protomem,1.0,0.0
344,C_dense_support,policy,1.0,0.0
345,C_dense_support,protomem,1.0,0.0
346,C_dense_support,goalinfer,1.0,0.0
347,C_dense_support,protomem,1.0,0.0
348,C_dense_support,policy,1.0,0.0
349,C_dense_support,policy,1.0,0.0
350,C_dense_support,protomem,1.0,0.0
351,C_dense_support,policy,1.0,0.0
352,C_dense_support,protomem,1.0,0.0
353,C_dense_support,policy,1.0,0.0
354,C_dense_support,protomem,1.0,0.0
355,C_dense_support,policy,1.0,0.0
356,C_dense_support,protomem,1.0,0.0
357,C_dense_support,protomem,1.0,0.0
358,C_dense_support,policy,1.0,0.0
359,C_dense_support,policy,1.0,0.0
360,A_fixed_goal,protomem,1.0,0.0
361,A_fixed_goal,policy,1.0,0.0
362,A_fixed_goal,policy,1.0,0.0
363,A_fixed_goal,protomem,1.0,0.0
364,A_fixed_goal,protomem,1.0,0.0
365,A_fixed_goal,policy,1.0,0.0
366,A_fixed_goal,protomem,1.0,0.0
367,A_fixed_goal,protomem,1.0,0.0
368,A_fixed_goal,protomem,1.0,0.0
369,A_fixed_goal,protomem,1.0,0.0
370,A_fixed_goal,policy,1.0,0.0
371,A_fixed_goal,policy,1.0,0.0
372,A_fixed_goal,policy,1.0,0.0
373,A_fixed_goal,paramcomp,1.0,0.0
374,A_fixed_goal,paramcomp,1.0,0.0
375,A_fixed_goal,protomem,1.0,0.0
376,A_fixed_goal,goalinfer,1.0,0.0
377,A_fixed_goal,protomem,1.0,0.0
378,A_fixed_goal,protomem,1.0,0.0
379,A_fixed_goal,protomem,1.0,0.0
380,D_hidden_goal,policy,0.0,1.0
381,D_hidden_goal,policy,0.0,1.0
382,D_hidden_goal,policy,0.0,1.0
383,D_hidden_goal,policy,0.0,1.0
384,D_hidden_goal,policy,0.0,1.0
385,D_hidden_goal,policy,0.0,1.0
386,D_hidden_goal,policy,0.0,1.0
387,D_hidden_goal,policy,0.0,1.0
388,D_hidden_goal,policy,0.0,1.0
389,D_hidden_goal,policy,0.0,1.0
390,D_hidden_goal,policy,0.0,1.0
391,D_hidden_goal,goalinfer,1.0,0.0
392,D_hidden_goal,policy,1.0,0.0
393,D_hidden_goal,policy,0.0,1.0
394,D_hidden_goal,policy,0.0,1.0
395,D_hidden_goal,policy,0.0,1.0
396,D_hidden_goal,policy,0.0,1.0
397,D_hidden_goal,policy,0.0,1.0
398,D_hidden_goal,policy,0.0,1.0
399,D_hidden_goal,goalinfer,1.0,0.0
400,D_hidden_goal,policy,0.0,1.0
401,D_hidden_goal,policy,0.0,1.0
402,D_hidden_goal,policy,0.0,1.0
403,D_hidden_goal,policy,0.0,1.0
404,D_hidden_goal,policy,0.0,1.0
405,D_hidden_goal,policy,0.0,1.0
406,D_hidden_goal,policy,0.0,1.0
407,D_hidden_goal,policy,0.0,1.0
408,D_hidden_goal,policy,0.0,1.0
409,D_hidden_goal,policy,0.0,1.0
410,D_hidden_goal,protomem,1.0,0.0
411,D_hidden_goal,policy,0.0,1.0
412,D_hidden_goal,policy,0.0,1.0
413,D_hidden_goal,policy,0.0,1.0
414,D_hidden_goal,protomem,1.0,0.0
415,D_hidden_goal,policy,0.0,1.0
416,D_hidden_goal,policy,0.0,1.0
417,D_hidden_goal,policy,0.0,1.0
418,D_hidden_goal,policy,0.0,1.0
419,D_hidden_goal,policy,0.0,1.0
420,B_goal_transfer,protomem,1.0,0.0
421,B_goal_transfer,protomem,1.0,0.0
422,B_goal_transfer,protomem,1.0,0.0
423,B_goal_transfer,policy,1.0,0.0
424,B_goal_transfer,protomem,1.0,0.0
425,B_goal_transfer,protomem,1.0,0.0
426,B_goal_transfer,protomem,1.0,0.0
427,B_goal_transfer,policy,1.0,0.0
428,B_goal_transfer,policy,1.0,0.0
429,B_goal_transfer,protomem,1.0,0.0
430,B_goal_transfer,protomem,1.0,0.0
431,B_goal_transfer,protomem,1.0,0.0
432,B_goal_transfer,protomem,1.0,0.0
433,B_goal_transfer,policy,1.0,0.0
434,B_goal_transfer,protomem,1.0,0.0
435,B_goal_transfer,goalinfer,1.0,0.0
436,B_goal_transfer,protomem,1.0,0.0
437,B_goal_transfer,protomem,1.0,0.0
438,B_goal_transfer,goalinfer,1.0,0.0
439,B_goal_transfer,policy,1.0,0.0
440,B_goal_transfer,policy,1.0,0.0
441,B_goal_transfer,protomem,1.0,0.0
442,B_goal_transfer,protomem,1.0,0.0
443,B_goal_transfer,protomem,1.0,0.0
444,B_goal_transfer,protomem,1.0,0.0
445,B_goal_transfer,protomem,1.0,0.0
446,B_goal_transfer,protomem,1.0,0.0
447,B_goal_transfer,protomem,1.0,0.0
448,B_goal_transfer,protomem,1.0,0.0
449,B_goal_transfer,protomem,1.0,0.0
450,B_goal_transfer,policy,1.0,0.0
451,B_goal_transfer,protomem,1.0,0.0
452,B_goal_transfer,goalinfer,1.0,0.0
453,B_goal_transfer,protomem,1.0,0.0
454,B_goal_transfer,protomem,1.0,0.0
455,B_goal_transfer,protomem,1.0,0.0
456,B_goal_transfer,policy,1.0,0.0
457,B_goal_transfer,protomem,1.0,0.0
458,B_goal_transfer,policy,1.0,0.0
459,B_goal_transfer,protomem,1.0,0.0
460,D_hidden_goal,policy,0.0,1.0
461,D_hidden_goal,policy,0.0,1.0
462,D_hidden_goal,policy,0.0,1.0
463,D_hidden_goal,policy,0.0,1.0
464,D_hidden_goal,policy,0.0,1.0
465,D_hidden_goal,policy,0.0,1.0
466,D_hidden_goal,policy,0.0,1.0
467,D_hidden_goal,policy,0.0,1.0
468,D_hidden_goal,policy,0.0,1.0
469,D_hidden_goal,policy,0.0,1.0
470,D_hidden_goal,policy,0.0,1.0
471,D_hidden_goal,goalinfer,1.0,0.0
472,D_hidden_goal,policy,0.0,1.0
473,D_hidden_goal,policy,0.0,1.0
474,D_hidden_goal,policy,0.0,1.0
475,D_hidden_goal,policy,0.0,1.0
476,D_hidden_goal,policy,0.0,1.0
477,D_hidden_goal,policy,0.0,1.0
478,D_hidden_goal,policy,0.0,1.0
479,D_hidden_goal,policy,0.0,1.0
480,A_fixed_goal,policy,1.0,0.0
481,A_fixed_goal,protomem,1.0,0.0
482,A_fixed_goal,policy,1.0,0.0
483,A_fixed_goal,protomem,1.0,0.0
484,A_fixed_goal,policy,1.0,0.0
485,A_fixed_goal,protomem,1.0,0.0
486,A_fixed_goal,policy,1.0,0.0
487,A_fixed_goal,protomem,1.0,0.0
488,A_fixed_goal,protomem,1.0,0.0
489,A_fixed_goal,policy,1.0,0.0
490,A_fixed_goal,policy,1.0,0.0
491,A_fixed_goal,policy,1.0,0.0
492,A_fixed_goal,protomem,1.0,0.0
493,A_fixed_goal,protomem,1.0,0.0
494,A_fixed_goal,protomem,1.0,0.0
495,A_fixed_goal,protomem,1.0,0.0
496,A_fixed_goal,protomem,1.0,0.0
497,A_fixed_goal,goalinfer,1.0,0.0
498,A_fixed_goal,policy,1.0,0.0
499,A_fixed_goal,protomem,1.0,0.0
500,C_dense_support,policy,1.0,0.0
501,C_dense_support,protomem,1.0,0.0
502,C_dense_support,policy,1.0,0.0
503,C_dense_support,protomem,1.0,0.0
504,C_dense_support,policy,1.0,0.0
505,C_dense_support,protomem,1.0,0.0
506,C_dense_support,policy,1.0,0.0
507,C_dense_support,protomem,1.0,0.0
508,C_dense_support,protomem,1.0,0.0
509,C_dense_support,policy,1.0,0.0
510,C_dense_support,policy,1.0,0.0
511,C_dense_support,policy,1.0,0.0
512,C_dense_support,protomem,1.0,0.0
513,C_dense_support,protomem,1.0,0.0
514,C_dense_support,protomem,1.0,0.0
515,C_dense_support,protomem,1.0,0.0
516,C_dense_support,protomem,1.0,0.0
517,C_dense_support,goalinfer,1.0,0.0
518,C_dense_support,policy,1.0,0.0
519,C_dense_support,protomem,1.0,0.0
520,D_hidden_goal,policy,0.0,1.0
521,D_hidden_goal,policy,0.0,1.0
522,D_hidden_goal,policy,0.0,1.0
523,D_hidden_goal,policy,0.0,1.0
524,D_hidden_goal,policy,0.0,1.0
525,D_hidden_goal,policy,0.0,1.0
526,D_hidden_goal,protomem,1.0,0.0
527,D_hidden_goal,policy,0.0,1.0
528,D_hidden_goal,policy,0.0,1.0
529,D_hidden_goal,policy,0.0,1.0
530,D_hidden_goal,policy,0.0,1.0
531,D_hidden_goal,policy,0.0,1.0
532,D_hidden_goal,policy,0.0,1.0
533,D_hidden_goal,policy,0.0,1.0
534,D_hidden_goal,policy,0.0,1.0
535,D_hidden_goal,policy,0.0,1.0
536,D_hidden_goal,policy,0.0,1.0
537,D_hidden_goal,policy,0.0,1.0
538,D_hidden_goal,policy,0.0,1.0
539,D_hidden_goal,policy,0.0,1.0
540,B_goal_transfer,protomem,1.0,0.0
541,B_goal_transfer,policy,1.0,0.0
542,B_goal_transfer,policy,1.0,0.0
543,B_goal_transfer,protomem,1.0,0.0
544,B_goal_transfer,policy,1.0,0.0
545,B_goal_transfer,policy,1.0,0.0
546,B_goal_transfer,protomem,1.0,0.0
547,B_goal_transfer,protomem,1.0,0.0
548,B_goal_transfer,protomem,1.0,0.0
549,B_goal_transfer,protomem,1.0,0.0
550,B_goal_transfer,protomem,1.0,0.0
551,B_goal_transfer,protomem,1.0,0.0
552,B_goal_transfer,protomem,1.0,0.0
553,B_goal_transfer,policy,1.0,0.0
554,B_goal_transfer,policy,1.0,0.0
555,B_goal_transfer,protomem,1.0,0.0
556,B_goal_transfer,protomem,1.0,0.0
557,B_goal_transfer,protomem,1.0,0.0
558,B_goal_transfer,protomem,1.0,0.0
559,B_goal_transfer,policy,1.0,0.0
560,D_hidden_goal,policy,0.0,1.0
561,D_hidden_goal,policy,0.0,1.0
562,D_hidden_goal,policy,0.0,1.0
563,D_hidden_goal,policy,0.0,1.0
564,D_hidden_goal,policy,0.0,1.0
565,D_hidden_goal,protomem,1.0,0.0
566,D_hidden_goal,policy,0.0,1.0
567,D_hidden_goal,policy,0.0,1.0
568,D_hidden_goal,policy,0.0,1.0
569,D_hidden_goal,policy,0.0,1.0
570,D_hidden_goal,policy,0.0,1.0
571,D_hidden_goal,policy,0.0,1.0
572,D_hidden_goal,policy,0.0,1.0
573,D_hidden_goal,policy,0.0,1.0
574,D_hidden_goal,policy,0.0,1.0
575,D_hidden_goal,policy,0.0,1.0
576,D_hidden_goal,policy,0.0,1.0
577,D_hidden_goal,policy,0.0,1.0
578,D_hidden_goal,policy,0.0,1.0
579,D_hidden_goal,policy,0.0,1.0
580,D_hidden_goal,policy,0.0,1.0
581,D_hidden_goal,policy,0.0,1.0
582,D_hidden_goal,policy,0.0,1.0
583,D_hidden_goal,policy,0.0,1.0
584,D_hidden_goal,goalinfer,1.0,0.0
585,D_hidden_goal,policy,0.0,1.0
586,D_hidden_goal,policy,0.0,1.0
587,D_hidden_goal,policy,0.0,1.0
588,D_hidden_goal,policy,0.0,1.0
589,D_hidden_goal,policy,0.0,1.0
590,D_hidden_goal,policy,0.0,1.0
591,D_hidden_goal,policy,0.0,1.0
592,D_hidden_goal,policy,0.0,1.0
593,D_hidden_goal,policy,0.0,1.0
594,D_hidden_goal,policy,0.0,1.0
595,D_hidden_goal,policy,0.0,1.0
596,D_hidden_goal,protomem,1.0,0.0
597,D_hidden_goal,policy,0.0,1.0
598,D_hidden_goal,policy,0.0,1.0
599,D_hidden_goal,policy,1.0,0.0
600,B_goal_transfer,protomem,1.0,0.0
601,B_goal_transfer,policy,1.0,0.0
602,B_goal_transfer,protomem,1.0,0.0
603,B_goal_transfer,protomem,1.0,0.0
604,B_goal_transfer,protomem,1.0,0.0
605,B_goal_transfer,protomem,1.0,0.0
606,B_goal_transfer,protomem,1.0,0.0
607,B_goal_transfer,policy,1.0,0.0
608,B_goal_transfer,policy,1.0,0.0
609,B_goal_transfer,protomem,1.0,0.0
610,B_goal_transfer,protomem,1.0,0.0
611,B_goal_transfer,protomem,1.0,0.0
612,B_goal_transfer,protomem,1.0,0.0
613,B_goal_transfer,policy,1.0,0.0
614,B_goal_transfer,policy,1.0,0.0
615,B_goal_transfer,protomem,1.0,0.0
616,B_goal_transfer,protomem,1.0,0.0
617,B_goal_transfer,policy,1.0,0.0
618,B_goal_transfer,protomem,1.0,0.0
619,B_goal_transfer,policy,1.0,0.0
620,A_fixed_goal,policy,0.0,1.0
621,A_fixed_goal,policy,0.0,1.0
622,A_fixed_goal,policy,1.0,0.0
623,A_fixed_goal,policy,1.0,0.0
624,A_fixed_goal,protomem,1.0,0.0
625,A_fixed_goal,policy,1.0,0.0
626,A_fixed_goal,protomem,1.0,0.0
627,A_fixed_goal,policy,1.0,0.0
628,A_fixed_goal,policy,1.0,0.0
629,A_fixed_goal,protomem,1.0,0.0
630,A_fixed_goal,policy,0.0,1.0
631,A_fixed_goal,policy,1.0,0.0
